Index,Zeit,Langenanderung,Temperatur
670,520.9276733,48.40914154,614.5397949
671,520.9436035,48.29934692,613.585083
672,520.9647217,48.14837646,612.2172852
673,520.9805908,47.92604065,611.3134155
674,520.99646,47.81075287,610.369812
675,521.0144043,47.4813652,609.272644
676,521.0323486,47.36058807,608.1072388
677,521.0491943,47.05590439,607.0907593
678,521.0640259,46.79788208,606.0923462
679,521.0777588,46.72651672,605.0720215
680,521.0968018,46.35595322,603.916687
681,521.1095581,46.18576813,602.9811401
682,521.1264648,46.10342407,601.9494629
683,521.1434326,45.81520844,600.8270874
684,521.1593018,45.74658585,599.7405396
685,521.1730347,45.41994095,598.7088623
686,521.1920166,45.12074661,597.697876
687,521.2078857,44.98350143,596.6090088
688,521.2248535,44.81606293,595.5695801
689,521.2417603,44.65411377,594.5515747
690,521.2597046,44.49765396,593.4735107
691,521.2766724,44.18473434,592.4390259
692,521.2957153,43.82514954,591.366272
693,521.3157959,43.53693771,590.3369141
694,521.3348999,43.30361938,589.1968384
695,521.3527222,43.07579041,588.19104
696,521.375,42.78757858,586.9884644
697,521.3961792,42.5487709,585.9841919
698,521.4172974,42.31270981,584.9515991
699,521.437439,42.0656662,583.8467407
700,521.4586792,41.75549316,582.7427979
701,521.4777222,41.57707214,581.7731934
702,521.4956665,41.34375763,580.725647
703,521.5179443,41.13514328,579.659668
704,521.5369873,40.8743782,578.5975342
705,521.5548706,40.66576385,577.5140381
706,521.5739136,40.45166397,576.456604
707,521.591919,40.25952148,575.4123535
708,521.6067505,40.0316925,574.367981
709,521.6257935,39.80935669,573.2561646
710,521.6416626,39.59525299,572.262146
711,521.6585693,39.40036392,571.2080078
712,521.6776123,39.16155624,570.1070557
713,521.694519,38.96117783,568.9511108
714,521.7103272,38.76354599,568.0049439
715,521.7283325,38.53846359,566.8533325
716,521.7420044,38.36553574,565.9434204
717,521.756897,38.16515732,564.8817749
718,521.7790527,37.87694168,563.7948608
719,521.7960205,37.61617661,562.579773
720,521.8108521,37.46795273,561.6413574
721,521.8278198,37.27855301,560.6211548
722,521.8447266,37.06719589,559.5865479
723,521.8584595,36.8970108,558.4970703
724,521.8721314,36.74055099,557.5064697
725,521.8880005,36.46606064,556.3850098
726,521.9038696,36.27666092,555.300293
727,521.9176636,36.0762825,554.2709351
728,521.9324951,35.89237595,553.1696167
729,521.9462891,35.71395493,552.1680908
730,521.9621582,35.49985504,551.0675049
731,521.9801636,35.26928329,550.0656128
732,521.9938965,35.09086227,548.8501587
733,522.0064697,34.94812775,547.8832398
734,522.0223389,34.74500656,546.7635498
735,522.0361328,34.55286026,545.8182373
736,522.052002,34.33601379,544.7449341
737,522.0689087,34.0999527,543.7320557
738,522.0827026,33.89133835,542.62146
739,522.0964356,33.70743179,541.586853
740,522.1144409,33.48783875,540.5153198
741,522.1303101,33.29294968,539.4275513
742,522.1450806,33.08433533,538.4135132
743,522.1629639,32.84553146,537.3206787
744,522.1766968,32.66711044,536.3389893
745,522.1915283,32.48320389,535.2434082
746,522.2063599,32.22518158,534.1134033
747,522.2190552,32.09068298,533.1300049
748,522.236023,31.79972267,532.0424194
749,522.2497559,31.6405201,531.0244141
750,522.265625,31.40720367,529.9818115
751,522.2804565,31.21231461,528.7796631
752,522.2972412,30.99546814,527.8647461
753,522.3099365,30.80332375,526.8110352
754,522.3247681,30.58922195,525.7192383
755,522.3374634,30.42178154,524.7055054
756,522.3512573,30.22963905,523.5854492
757,522.3660889,29.99906731,522.4468384
758,522.3808594,29.79045486,521.3914795
759,522.3967285,29.54890251,520.4349976
760,522.411499,29.38695335,519.4284058
761,522.425293,29.18383026,518.2785645
762,522.44104,28.96972847,517.265625
763,522.4558716,28.75013542,516.1657715
764,522.4685669,28.57446098,515.0836182
765,522.4833984,28.31369591,514.0562134
766,522.4992676,28.10782814,512.9640503
767,522.5130005,27.92666435,511.9938049
768,522.527832,27.74000931,510.8764954
769,522.5447998,27.50394821,509.8518066
770,522.5574341,27.29259109,508.822937
771,522.571106,27.089468,507.7892151
772,522.5870361,26.89457893,506.7392273
773,522.600769,26.71067047,505.4983521
774,522.6155396,26.45813942,504.4476624
775,522.6314087,26.24403763,503.5346985
776,522.6462402,26.02444458,502.5074158
777,522.6610718,25.82955551,501.4101563
778,522.6748047,25.65113831,500.296051
779,522.6906738,25.37664795,499.1768189
780,522.7044678,25.15431023,498.1340942
781,522.7213745,24.94020653,497.1382141
782,522.7372437,24.6849308,496.0092163
783,522.7510376,24.52023697,495.0384522
784,522.7669067,24.29789925,494.0119934
785,522.7806397,24.09752083,492.7994995
786,522.7965088,23.84498978,491.9341126
787,522.812439,23.64461136,490.7510071
788,522.8240967,23.4826622,489.6727905
789,522.8388672,23.2466011,488.7496643
790,522.8535767,23.02426338,487.5306397
791,522.8684082,22.82114029,486.6077576
792,522.8832398,22.59331322,485.2980957
793,522.8948975,22.39567947,484.4524536
794,522.909668,22.18706703,483.4658203
795,522.9224243,22.01413918,482.4016113
796,522.9361572,21.78905678,481.2527466
797,522.9509888,21.57495308,480.3116455
798,522.9678955,21.31693268,479.1507874
799,522.9836426,21.11106491,477.9920349
800,522.9963379,20.92715645,476.9562683
801,523.0100708,20.69658279,475.8244019
802,523.0238648,20.49620628,474.9176025
803,523.0397339,20.24916458,473.7279663
804,523.0545654,19.98290825,472.7823181
